DrugBank ID,Similar Structure
DB01274,"['DB00983', ' DB01274', ' DB13625']"
DB01284,"['DB01284', ' DB15687', ' DB05479', ' DB15314', ' DB13298', ' DB04931', ' DB15194', ' DB14027', ' DB13928', ' DB18169', ' DB00007', ' DB06825', ' DB11510', ' DB06719', ' DB00666', ' DB15272', ' DB11724', ' DB14806', ' DB14803', ' DB00644', ' DB06260', ' DB18634', ' DB16146', ' DB15366', ' DB14786', ' DB06788', ' DB13742', ' DB00014', ' DB11720', ' DB00403']"
DB01288,"['DB01288', ' DB00816', ' DB00871', ' DB00221', ' DB01064', ' DB00867', ' DB06814', ' DB08985', ' DB01102', ' DB00388', ' DB08957', ' DB00668', ' DB13559', ' DB11610']"
DB01291,['DB01291']
DB01324,"['DB01324', ' DB13989', ' DB00232', ' DB01021', ' DB08645', ' DB15861', ' DB13430', ' DB13532', ' DB00999']"
DB01325,"['DB01325', ' DB13708', ' DB00524']"
DB01364,"['DB00852', ' DB01364', ' DB14752', ' DB11278', ' DB11587', ' DB00397', ' DB01486', ' DB11610', ' DB00867', ' DB01577', ' DB09571', ' DB15902']"
DB01365,"['DB01365', ' DB01577', ' DB09571', ' DB00191', ' DB13285', ' DB00182', ' DB01576', ' DB13852', ' DB01037', ' DB12650', ' DB01550', ' DB04677', ' DB02972', ' DB15339']"
DB01366,"['DB01366', ' DB15784', ' DB05039', ' DB12100']"
DB01380,"['DB01380', ' DB12499', ' DB14539', ' DB14625', ' DB14646', ' DB00603', ' DB11440', ' DB06780', ' DB14541', ' DB14545', ' DB01134', ' DB06789', ' DB14677', ' DB14583', ' DB14538', ' DB14543', ' DB14540', ' DB14544', ' DB14681', ' DB13958', ' DB05288', ' DB01420', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB08308']"
DB01406,['DB01406']
DB01407,"['DB01407', ' DB12803']"
DB01408,['DB01408']
DB01410,"['DB01410', ' DB01222', ' DB01260', ' DB00288', ' DB01130', ' DB14662', ' DB18737', ' DB14643', ' DB01047', ' DB00180', ' DB14632', ' DB15999', ' DB14673', ' DB14633', ' DB14644', ' DB15835', ' DB15566', ' DB00591', ' DB00394', ' DB00846', ' DB14221', ' DB14596', ' DB14640', ' DB14649', ' DB14538', ' DB14543', ' DB05442', ' DB14540', ' DB14625', ' DB14646']"
DB01420,"['DB01420', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB13958', ' DB08308', ' DB08619', ' DB01395', ' DB00603', ' DB11440', ' DB06789', ' DB14677', ' DB12499', ' DB13185', ' DB13640', ' DB14678', ' DB01134', ' DB02329', ' DB15984', ' DB08547', ' DB06780', ' DB14583', ' DB14540', ' DB14538', ' DB14544', ' DB14543']"
DB01434,"['DB00396', ' DB01434', ' DB01536', ' DB01451', ' DB13391', ' DB15977', ' DB13710', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB01443', ' DB01456', ' DB08905', ' DB00253', ' DB18000', ' DB14584', ' DB04652', ' DB07373', ' DB12194']"
DB01439,"['DB01439', ' DB09180', ' DB01470', ' DB09170', ' DB00708', ' DB01571', ' DB09178', ' DB09171', ' DB01570', ' DB00813', ' DB09169', ' DB09173', ' DB01557', ' DB01532']"
DB01443,"['DB01443', ' DB01456', ' DB00396', ' DB01434', ' DB01536', ' DB01451']"
DB01450,"['DB00921', ' DB01450', ' DB01548', ' DB16072', ' DB01565', ' DB01551', ' DB01512', ' DB01538', ' DB00844', ' DB14146', ' DB16117', ' DB09049', ' DB01531', ' DB15341', ' DB01480', ' DB01497', ' DB01469', ' DB06230', ' DB00497', ' DB00704', ' DB01192', ' DB06800', ' DB00956', ' DB00327', ' DB00318', ' DB00295', ' DB01477', ' DB01466', ' DB01183', ' DB04509']"
DB01451,"['DB01451', ' DB00396', ' DB01434', ' DB01536', ' DB01481', ' DB01572', ' DB13710', ' DB13391', ' DB15977', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB07373', ' DB12194', ' DB01443', ' DB01456', ' DB08905', ' DB00253', ' DB18000']"
DB01452,"['DB01452', ' DB01469', ' DB01466', ' DB13454', ' DB00318', ' DB01480', ' DB01497', ' DB01477', ' DB00295', ' DB01573', ' DB09209', ' DB11490', ' DB06409', ' DB01568', ' DB15341', ' DB16117', ' DB01538', ' DB13458', ' DB15465', ' DB14146', ' DB09049', ' DB16072', ' DB01512', ' DB00844', ' DB00921', ' DB01450', ' DB01548', ' DB06230', ' DB01551', ' DB01565']"
DB01453,"['DB01453', ' DB01570', ' DB00813', ' DB09173', ' DB01557', ' DB09171', ' DB01571', ' DB01532', ' DB09177', ' DB09178', ' DB13653', ' DB09179', ' DB09169', ' DB09170', ' DB09180', ' DB09182']"
DB01455,"['DB01455', ' DB01524', ' DB04704', ' DB04540', ' DB04705', ' DB14038', ' DB03696', ' DB01431', ' DB04706', ' DB02789', ' DB06257', ' DB01708', ' DB01493', ' DB14555', ' DB13797', ' DB01474', ' DB01526', ' DB01554', ' DB05212', ' DB12474', ' DB01503', ' DB01889', ' DB13866']"
DB01456,"['DB01443', ' DB01456', ' DB00396', ' DB01434', ' DB01536', ' DB01451']"
DB01458,"['DB01458', ' DB13940']"
DB01463,"['DB01463', ' DB08071', ' DB16848']"
DB01465,"['DB01465', ' DB01528', ' DB01467', ' DB00723', ' DB01484', ' DB13624']"
DB01467,"['DB01467', ' DB01528', ' DB01465', ' DB00723', ' DB01484']"
DB01469,"['DB01469', ' DB01480', ' DB01497', ' DB01452', ' DB01466', ' DB00318', ' DB01573', ' DB01477', ' DB00295', ' DB09209', ' DB15341', ' DB16117', ' DB11490', ' DB01568', ' DB13454', ' DB06409', ' DB16072', ' DB14146', ' DB00921', ' DB01450', ' DB01548', ' DB01512', ' DB01538', ' DB00844', ' DB09049', ' DB01551', ' DB13458', ' DB15465', ' DB01565', ' DB06230']"
DB01470,"['DB01470', ' DB09180', ' DB01439', ' DB09170', ' DB00708', ' DB01557', ' DB01532', ' DB00813', ' DB09173', ' DB01571', ' DB09171']"
DB01471,"['DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB13230', ' DB14570', ' DB01481', ' DB01572', ' DB00253', ' DB18000', ' DB00367', ' DB00717', ' DB09389', ' DB14584', ' DB04652', ' DB01485', ' DB01500', ' DB01540', ' DB04630', ' DB00741', ' DB13089']"
DB01472,"['DB01472', ' DB09352', ' DB03978', ' DB08767', ' DB08841', ' DB03380']"
DB01481,"['DB01481', ' DB01572', ' DB13710', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13230', ' DB14570', ' DB00253', ' DB18000', ' DB14584', ' DB01451', ' DB04652', ' DB00367', ' DB00717', ' DB09389', ' DB04630', ' DB00741', ' DB01485', ' DB01500', ' DB01540']"
DB01482,"['DB01482', ' DB12926', ' DB13592', ' DB12927', ' DB12846', ' DB13203', ' DB13636', ' DB13449', ' DB18002', ' DB13573']"
DB01484,"['DB01484', ' DB01537', ' DB01465', ' DB01528', ' DB01467']"
DB01485,"['DB01485', ' DB01500', ' DB01540', ' DB08905', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB04652', ' DB14584', ' DB00253', ' DB18000', ' DB04630', ' DB00741', ' DB13185', ' DB00367', ' DB00717', ' DB09389', ' DB01481']"
DB01486,"['DB00397', ' DB01486', ' DB00852', ' DB01364', ' DB14752', ' DB11278', ' DB11587', ' DB04484', ' DB00610', ' DB11610', ' DB00182', ' DB01576']"
DB01493,"['DB01493', ' DB01431', ' DB03696', ' DB12474', ' DB04704', ' DB01474', ' DB01526', ' DB01554', ' DB01455', ' DB01524', ' DB04540', ' DB04705', ' DB14038', ' DB01889', ' DB01503', ' DB00304', ' DB14555', ' DB14152', ' DB12622', ' DB13866', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533']"
DB01497,"['DB01480', ' DB01497', ' DB01469', ' DB00318', ' DB00295', ' DB01477', ' DB01466', ' DB01573', ' DB11490', ' DB09209', ' DB01452', ' DB01568', ' DB00921', ' DB01450', ' DB01548', ' DB16072', ' DB14146', ' DB15341', ' DB16117', ' DB06409', ' DB01512', ' DB01551', ' DB00844', ' DB01565', ' DB09049', ' DB13454', ' DB06230', ' DB01538', ' DB13458', ' DB00497']"
DB01500,"['DB01485', ' DB01500', ' DB01540', ' DB08905', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB04652', ' DB14584', ' DB00253', ' DB18000', ' DB04630', ' DB00741', ' DB13185', ' DB00367', ' DB00717', ' DB09389', ' DB01481']"
DB01503,"['DB01503', ' DB01474', ' DB01526', ' DB01554', ' DB13866', ' DB04706', ' DB01493', ' DB06257', ' DB01431', ' DB03696', ' DB01889', ' DB04704', ' DB01455', ' DB01524', ' DB04540', ' DB04705', ' DB14038']"
DB01509,"['DB01509', ' DB01454', ' DB01566', ' DB06112', ' DB01442', ' DB12809', ' DB01516', ' DB09253', ' DB14129', ' DB06814']"
DB01513,"['DB01479', ' DB01513', ' DB01530', ' DB03882', ' DB03926', ' DB11288', ' DB17066', ' DB17742', ' DB13163', ' DB00825', ' DB11344', ' DB14123', ' DB06307', ' DB02901', ' DB03619', ' DB07447', ' DB12622', ' DB13587', ' DB00858', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB16260', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972']"
DB01514,['DB01514']
DB01516,"['DB01516', ' DB01442', ' DB01509', ' DB01454', ' DB01566', ' DB06112', ' DB12809']"
DB01521,"['DB01521', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB15984', ' DB13710', ' DB13230', ' DB14570', ' DB14584', ' DB18000', ' DB04652', ' DB00253', ' DB00367', ' DB00717', ' DB09389', ' DB04630', ' DB01481', ' DB01572', ' DB00741', ' DB01500', ' DB01540']"
DB01524,"['DB01455', ' DB01524', ' DB04704', ' DB04540', ' DB04705', ' DB14038', ' DB03696', ' DB01431', ' DB04706', ' DB02789', ' DB06257', ' DB01708', ' DB01493', ' DB14555', ' DB13797', ' DB01474', ' DB01526', ' DB01554', ' DB05212', ' DB12474', ' DB01503', ' DB01889', ' DB13866']"
DB01526,"['DB01474', ' DB01526', ' DB01554', ' DB01503', ' DB13866', ' DB04706', ' DB06257', ' DB01493', ' DB03696', ' DB01431', ' DB04704', ' DB01455', ' DB01524', ' DB04540', ' DB04705', ' DB14038', ' DB05212', ' DB12474', ' DB13315', ' DB02789', ' DB14555', ' DB01708']"
DB01528,"['DB01528', ' DB01467', ' DB01465', ' DB00723', ' DB01484']"
DB01529,"['DB01529', ' DB00561', ' DB13759']"
DB01531,"['DB01531', ' DB01565', ' DB01551', ' DB00327', ' DB00921', ' DB01450', ' DB01548', ' DB00956', ' DB01512', ' DB16072', ' DB00844', ' DB06230', ' DB01538', ' DB00704', ' DB01192', ' DB06800', ' DB00497', ' DB14146', ' DB01183', ' DB04509', ' DB09049', ' DB16117', ' DB15341', ' DB13471', ' DB00295', ' DB01480', ' DB01497', ' DB00318', ' DB01477', ' DB01466']"
DB01532,"['DB01532', ' DB01557', ' DB00813', ' DB09173', ' DB01571', ' DB09171', ' DB09178', ' DB01453', ' DB09177', ' DB09169', ' DB01570', ' DB13653', ' DB09179', ' DB01470', ' DB09182', ' DB09180', ' DB09168', ' DB01439']"
DB01536,"['DB00396', ' DB01434', ' DB01536', ' DB01451', ' DB13391', ' DB15977', ' DB13710', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB01443', ' DB01456', ' DB08905', ' DB00253', ' DB18000', ' DB14584', ' DB04652', ' DB07373', ' DB12194']"
DB01537,"['DB01537', ' DB01484']"
DB01540,"['DB01485', ' DB01500', ' DB01540', ' DB08905', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB04652', ' DB14584', ' DB00253', ' DB18000', ' DB04630', ' DB00741', ' DB13185', ' DB00367', ' DB00717', ' DB09389', ' DB01481']"
DB01541,"['DB01541', ' DB13586', ' DB00896', ' DB01569', ' DB00860', ' DB00959', ' DB00635', ' DB09383', ' DB12952', ' DB07373', ' DB12194', ' DB13208', ' DB14639', ' DB15114']"
DB01543,"['DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB13230', ' DB14570', ' DB01481', ' DB01572', ' DB00253', ' DB18000', ' DB00367', ' DB00717', ' DB09389', ' DB14584', ' DB04652', ' DB01485', ' DB01500', ' DB01540', ' DB04630', ' DB00741', ' DB13089']"
DB01546,"['DB01546', ' DB01446', ' DB04236', ' DB08653', ' DB00150', ' DB03225', ' DB04537', ' DB08953', ' DB02740', ' DB01488', ' DB01460', ' DB01953', ' DB12827', ' DB02959', ' DB08839', ' DB08649', ' DB03314', ' DB02758', ' DB08652']"
DB01550,"['DB01550', ' DB13285', ' DB13852', ' DB01577', ' DB09571', ' DB01037', ' DB12650', ' DB04677', ' DB01365']"
DB01554,"['DB01474', ' DB01526', ' DB01554', ' DB01503', ' DB13866', ' DB04706', ' DB06257', ' DB01493', ' DB03696', ' DB01431', ' DB04704', ' DB01455', ' DB01524', ' DB04540', ' DB04705', ' DB14038', ' DB05212', ' DB12474', ' DB13315', ' DB02789', ' DB14555', ' DB01708']"
DB01556,"['DB01556', ' DB01527', ' DB00191']"
DB01557,"['DB01557', ' DB01532', ' DB00813', ' DB09173', ' DB01571', ' DB09171', ' DB09178', ' DB01453', ' DB09177', ' DB09169', ' DB01570', ' DB13653', ' DB09179', ' DB01470', ' DB09182', ' DB09180', ' DB09168', ' DB01439']"
DB01560,"['DB01560', ' DB15339', ' DB13108', ' DB00182', ' DB01576', ' DB00937']"
DB01561,"['DB01561', ' DB04693', ' DB07375', ' DB07557', ' DB01744', ' DB11345', ' DB14156', ' DB15918', ' DB03540', ' DB08956', ' DB15920', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972', ' DB00858', ' DB11622', ' DB02125', ' DB02901', ' DB07447', ' DB13587']"
DB01562,"['DB01562', ' DB01478', ' DB01473', ' DB13160', ' DB01499', ' DB01552', ' DB01542']"
DB01564,"['DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB13230', ' DB14570', ' DB01481', ' DB01572', ' DB00253', ' DB18000', ' DB00367', ' DB00717', ' DB09389', ' DB14584', ' DB04652', ' DB01485', ' DB01500', ' DB01540', ' DB04630', ' DB00741', ' DB13089']"
DB01565,"['DB01565', ' DB01551', ' DB00921', ' DB01450', ' DB01548', ' DB01512', ' DB16072', ' DB00844', ' DB01531', ' DB01538', ' DB14146', ' DB09049', ' DB16117', ' DB15341', ' DB00327', ' DB06230', ' DB01480', ' DB01497', ' DB00295', ' DB00704', ' DB01192', ' DB06800', ' DB00956', ' DB00318', ' DB00497', ' DB01477', ' DB01466', ' DB11490', ' DB01183', ' DB04509']"
DB01566,"['DB01566', ' DB06112', ' DB01454', ' DB01509', ' DB06814', ' DB01442', ' DB12809', ' DB01516', ' DB09253', ' DB14129']"
DB01569,"['DB01569', ' DB00896', ' DB00860', ' DB00959', ' DB01541', ' DB13586', ' DB13208', ' DB15114', ' DB00635', ' DB09383', ' DB12952', ' DB12081', ' DB14094', ' DB00873']"
DB01570,"['DB01570', ' DB01453', ' DB01571', ' DB09171', ' DB09178', ' DB00813', ' DB09173', ' DB09169', ' DB01557', ' DB01532', ' DB09177', ' DB09179', ' DB13653', ' DB09170', ' DB01439']"
DB01571,"['DB01571', ' DB09171', ' DB09178', ' DB00813', ' DB09173', ' DB09169', ' DB01557', ' DB01570', ' DB01532', ' DB09177', ' DB01453', ' DB09179', ' DB01439', ' DB13653', ' DB09182', ' DB09180', ' DB09168', ' DB09174', ' DB01470']"
DB01572,"['DB01481', ' DB01572', ' DB13710', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13230', ' DB14570', ' DB00253', ' DB18000', ' DB14584', ' DB01451', ' DB04652', ' DB00367', ' DB00717', ' DB09389', ' DB04630', ' DB00741', ' DB01485', ' DB01500', ' DB01540']"
DB01573,"['DB01573', ' DB01466', ' DB00318', ' DB01477', ' DB00295', ' DB09209', ' DB11490', ' DB01480', ' DB01497', ' DB01469', ' DB01568', ' DB01452', ' DB13454', ' DB15341', ' DB01551', ' DB16117', ' DB01512', ' DB16072', ' DB06409', ' DB14146', ' DB00844', ' DB01565', ' DB00921', ' DB01450', ' DB01548', ' DB15465', ' DB06230', ' DB09049', ' DB13458', ' DB00497']"
DB01576,"['DB00182', ' DB01576', ' DB00191', ' DB02972', ' DB09250', ' DB01577', ' DB09571', ' DB04484', ' DB01365', ' DB13285', ' DB04325', ' DB01560', ' DB07910', ' DB00752', ' DB02665', ' DB09352', ' DB04410', ' DB00397', ' DB01486']"
DB01577,"['DB01577', ' DB09571', ' DB01365', ' DB13285', ' DB00182', ' DB01576', ' DB01037', ' DB12650', ' DB00191', ' DB02972', ' DB01550', ' DB04677', ' DB13852', ' DB15339', ' DB09250', ' DB00852', ' DB01364', ' DB14752']"
DB01579,"['DB01579', ' DB00830', ' DB11587']"
DB01580,"['DB01580', ' DB13777', ' DB09185']"
DB01708,"['DB01708', ' DB02789', ' DB04540', ' DB04705', ' DB14038', ' DB01455', ' DB01524', ' DB04704', ' DB04706', ' DB06257', ' DB13710', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB14584', ' DB14626', ' DB03696', ' DB18000', ' DB05804']"
DB01742,['DB01742']
DB01761,"['DB01761', ' DB03084', ' DB02388']"
DB01807,"['DB01807', ' DB06883', ' DB06882', ' DB03044', ' DB02277']"
DB01839,"['DB01839', ' DB02159', ' DB04349', ' DB09462', ' DB02418', ' DB02325', ' DB03175']"
DB01873,"['DB01873', ' DB05903', ' DB03010']"
DB02029,['DB02029']
DB02159,"['DB01839', ' DB02159', ' DB04349', ' DB09462', ' DB02418', ' DB02325', ' DB03175']"
DB02243,['DB02243']
DB02277,"['DB02277', ' DB01807', ' DB06883', ' DB06882']"
DB02294,"['DB02294', ' DB02471']"
DB02327,"['DB02042', ' DB02078', ' DB02327', ' DB02343', ' DB02580', ' DB03394', ' DB03508', ' DB03556', ' DB04332', ' DB06867', ' DB07344', ' DB08357', ' DB14000', ' DB02935']"
DB02404,['DB02404']
DB02645,"['DB02645', ' DB02357', ' DB02695', ' DB04141', ' DB12942', ' DB16867', ' DB03338', ' DB02451', ' DB07923', ' DB07924', ' DB14746', ' DB03772', ' DB03870', ' DB00581', ' DB01642', ' DB01979', ' DB02100', ' DB04046', ' DB04116', ' DB03194', ' DB03879', ' DB01687', ' DB01909', ' DB02743', ' DB03277', ' DB03323', ' DB03995', ' DB04248', ' DB04465', ' DB04681']"
DB02726,"['DB02726', ' DB01733', ' DB01709', ' DB01819', ' DB03248']"
DB02901,"['DB02901', ' DB07447', ' DB13587', ' DB00858', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972', ' DB11371', ' DB06622', ' DB08956', ' DB16260', ' DB03619', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB02817', ' DB11789', ' DB11622', ' DB18044', ' DB01479', ' DB01513', ' DB01530', ' DB03882', ' DB03926', ' DB16870', ' DB01561', ' DB04693']"
DB02924,['DB02924']
DB02925,"['DB02925', ' DB00887']"
DB02998,"['DB02998', ' DB06870', ' DB11372', ' DB11551', ' DB11619', ' DB13563', ' DB09123', ' DB13129', ' DB14660', ' DB11636', ' DB11529', ' DB09015', ' DB13602', ' DB13857', ' DB05786', ' DB06543']"
DB03026,['DB03026']
DB03056,['DB03056']
DB03081,['DB03081']
DB03085,"['DB03085', ' DB03902', ' DB13519', ' DB03166', ' DB14511', ' DB15111', ' DB04343']"
DB03218,"['DB03218', ' DB04295', ' DB01823', ' DB17822', ' DB03479']"
DB03322,"['DB00571', ' DB03322', ' DB13777']"
DB03337,['DB03337']
DB03350,['DB03350']
DB03368,"['DB03368', ' DB01174']"
DB03394,"['DB02042', ' DB02078', ' DB02327', ' DB02343', ' DB02580', ' DB03394', ' DB03508', ' DB03556', ' DB04332', ' DB06867', ' DB07344', ' DB08357', ' DB14000', ' DB02935']"
DB03508,"['DB02042', ' DB02078', ' DB02327', ' DB02343', ' DB02580', ' DB03394', ' DB03508', ' DB03556', ' DB04332', ' DB06867', ' DB07344', ' DB08357', ' DB14000', ' DB02935']"
DB03556,"['DB02042', ' DB02078', ' DB02327', ' DB02343', ' DB02580', ' DB03394', ' DB03508', ' DB03556', ' DB04332', ' DB06867', ' DB07344', ' DB08357', ' DB14000', ' DB02935']"
DB03622,['DB03622']
DB03748,['DB03748']
DB03782,['DB03782']
DB03861,['DB03861']
DB03882,"['DB01479', ' DB01513', ' DB01530', ' DB03882', ' DB03926', ' DB11288', ' DB17066', ' DB17742', ' DB13163', ' DB00825', ' DB11344', ' DB14123', ' DB06307', ' DB02901', ' DB03619', ' DB07447', ' DB12622', ' DB13587', ' DB00858', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB16260', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972']"
DB03904,"['DB03904', ' DB09510', ' DB09513', ' DB11129']"
DB03926,"['DB01479', ' DB01513', ' DB01530', ' DB03882', ' DB03926', ' DB11288', ' DB17066', ' DB17742', ' DB13163', ' DB00825', ' DB11344', ' DB14123', ' DB06307', ' DB02901', ' DB03619', ' DB07447', ' DB12622', ' DB13587', ' DB00858', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB16260', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972']"
DB04113,['DB04113']
DB04186,"['DB04186', ' DB06976']"
DB04213,['DB04213']
DB04325,"['DB04325', ' DB00780', ' DB00182', ' DB01576']"
DB04336,['DB04336']
DB04468,"['DB00675', ' DB04468', ' DB00539', ' DB15641', ' DB04938', ' DB00882', ' DB06735', ' DB06640']"
DB04630,"['DB04630', ' DB04652', ' DB00253', ' DB00741', ' DB13230', ' DB14570', ' DB09091', ' DB13710', ' DB18000', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB14584', ' DB14681', ' DB01485', ' DB01500', ' DB01540', ' DB01481', ' DB01572', ' DB16935', ' DB00367']"
DB04632,['DB04632']
DB04652,"['DB04652', ' DB04630', ' DB00253', ' DB00741', ' DB13230', ' DB14570', ' DB09091', ' DB13710', ' DB18000', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB14584', ' DB01485', ' DB01500', ' DB01540', ' DB14681', ' DB01481', ' DB01572', ' DB00367', ' DB00717']"
DB04727,"['DB04727', ' DB08392', ' DB08393', ' DB07653', ' DB07297', ' DB07654']"
DB04733,"['DB02548', ' DB02760', ' DB04733', ' DB04516', ' DB03542', ' DB02630', ' DB03745', ' DB03158', ' DB02942', ' DB04087', ' DB03581', ' DB11848', ' DB01729', ' DB01863', ' DB03344', ' DB03401', ' DB03956', ' DB04300', ' DB14981', ' DB04277', ' DB04493', ' DB18232', ' DB02445', ' DB02053', ' DB02778', ' DB01655', ' DB02076', ' DB02512', ' DB13863', ' DB04034']"
DB04825,"['DB04825', ' DB13476', ' DB13725', ' DB16848', ' DB13502', ' DB13505', ' DB13439']"
DB04846,"['DB04846', ' DB01193']"
DB04847,"['DB04847', ' DB07112', ' DB08687']"
DB04861,['DB04861']
DB04862,['DB04862']
DB04890,"['DB04890', ' DB00748']"
DB04938,"['DB04938', ' DB06640', ' DB00539', ' DB00675', ' DB04468']"
DB04980,"['DB04980', ' DB00460', ' DB06659', ' DB04506', ' DB02133', ' DB01853']"
DB05039,"['DB05039', ' DB15784', ' DB01366', ' DB12100']"
DB05107,"['DB05107', ' DB15915', ' DB02854', ' DB05087', ' DB11859', ' DB12308', ' DB12972']"
DB05212,"['DB05212', ' DB06257', ' DB04706', ' DB13866', ' DB01474', ' DB01526', ' DB01554', ' DB01455', ' DB01524', ' DB04704', ' DB12474', ' DB04540', ' DB04705', ' DB14038', ' DB06730', ' DB01088', ' DB00304', ' DB01708']"
DB05804,"['DB05804', ' DB01990', ' DB18079', ' DB14624', ' DB01708', ' DB02789']"
DB05805,"['DB05805', ' DB06156', ' DB04857']"
DB05830,"['DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB13230', ' DB14570', ' DB01481', ' DB01572', ' DB00253', ' DB18000', ' DB00367', ' DB00717', ' DB09389', ' DB14584', ' DB04652', ' DB01485', ' DB01500', ' DB01540', ' DB04630', ' DB00741', ' DB13089']"
DB06112,"['DB06112', ' DB01566', ' DB01454', ' DB01509', ' DB06814', ' DB01442', ' DB12809', ' DB01516', ' DB09253', ' DB14129']"
DB06202,"['DB06202', ' DB12220']"
DB06212,['DB06212']
DB06250,['DB06250']
DB06401,"['DB06401', ' DB05414', ' DB03121']"
DB06409,"['DB06409', ' DB01452', ' DB01469', ' DB01480', ' DB01497', ' DB00318', ' DB00295', ' DB01477', ' DB09209', ' DB01466', ' DB11490', ' DB01568', ' DB01573', ' DB13454', ' DB13458', ' DB15465', ' DB14146', ' DB15341', ' DB09049', ' DB16117', ' DB01538', ' DB00844', ' DB01512', ' DB06230', ' DB00497', ' DB00921', ' DB01450', ' DB01548', ' DB00704', ' DB01192']"
DB06412,"['DB06412', ' DB12480']"
DB06413,"['DB00745', ' DB06413', ' DB08925']"
DB06444,"['DB06444', ' DB12193', ' DB14011', ' DB00470', ' DB11755', ' DB00486']"
DB06622,"['DB06622', ' DB00858', ' DB02854', ' DB02901', ' DB05087', ' DB07447', ' DB11859', ' DB12308', ' DB12972', ' DB13587', ' DB11371', ' DB02817', ' DB08956', ' DB16260', ' DB01586', ' DB02659', ' DB05990', ' DB06777', ' DB03619', ' DB11789', ' DB11622', ' DB18044']"
DB06624,['DB06624']
