DrugBank ID,Similar Structure
DB00335,"['DB00335', ' DB06987', ' DB13443', ' DB00264', ' DB00187', ' DB00195', ' DB09351']"
DB00357,"['DB00357', ' DB01437', ' DB13413', ' DB08997']"
DB00368,"['DB00368', ' DB00668', ' DB13378', ' DB06707', ' DB00988', ' DB01064', ' DB13251', ' DB00388', ' DB08985', ' DB08957', ' DB00610', ' DB13494', ' DB13917', ' DB09203']"
DB00373,['DB00373']
DB00384,"['DB00384', ' DB05552']"
DB00394,"['DB00394', ' DB14221', ' DB14643', ' DB14632', ' DB15999', ' DB14653', ' DB14633', ' DB14644', ' DB14652', ' DB15566', ' DB00240', ' DB00764', ' DB01130', ' DB14538', ' DB14543', ' DB01013', ' DB14540', ' DB14544', ' DB01410', ' DB06781', ' DB14512', ' DB14637', ' DB14657', ' DB14640', ' DB14649', ' DB14541', ' DB14625', ' DB14646', ' DB15777', ' DB14545']"
DB00421,"['DB00421', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB01395']"
DB00422,"['DB00422', ' DB06701']"
DB00436,"['DB00436', ' DB00774', ' DB08303', ' DB15861', ' DB13430', ' DB13532']"
DB00443,"['DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB00620', ' DB00547', ' DB08970', ' DB11750', ' DB00223', ' DB00663', ' DB09095', ' DB12553', ' DB14640', ' DB14649', ' DB14669', ' DB00687', ' DB01384', ' DB09378', ' DB00596', ' DB14634', ' DB00860', ' DB00959', ' DB08971', ' DB13728', ' DB13158', ' DB13223', ' DB01185', ' DB13208', ' DB14664']"
DB00449,"['DB00449', ' DB13316', ' DB00901']"
DB00454,"['DB00454', ' DB01505', ' DB01081', ' DB01475', ' DB13605', ' DB01518', ' DB08988', ' DB00913', ' DB01464', ' DB01501']"
DB00460,"['DB00460', ' DB04980', ' DB06659', ' DB04506', ' DB02133', ' DB01853']"
DB00470,"['DB00470', ' DB11755', ' DB14011', ' DB06444', ' DB12193', ' DB18537', ' DB18539', ' DB18540', ' DB18541', ' DB18542', ' DB00486']"
DB00475,"['DB00475', ' DB16062']"
DB00481,['DB00481']
DB00486,"['DB00486', ' DB06444', ' DB00470', ' DB11755', ' DB12193', ' DB07933', ' DB14011']"
DB00489,['DB00489']
DB00497,"['DB00497', ' DB00704', ' DB01192', ' DB06800', ' DB01183', ' DB04509', ' DB00956', ' DB00327', ' DB06230', ' DB01512', ' DB00844', ' DB14146', ' DB15341', ' DB01551', ' DB09049', ' DB01565', ' DB01531', ' DB16117', ' DB16072', ' DB00921', ' DB01450', ' DB01548', ' DB01538', ' DB13471', ' DB01480', ' DB01497', ' DB01469', ' DB00318', ' DB01477', ' DB01466']"
DB00521,"['DB00521', ' DB17770']"
DB00524,"['DB00524', ' DB13708', ' DB01325']"
DB00539,"['DB00539', ' DB00675', ' DB04468', ' DB04938', ' DB06640', ' DB15641', ' DB00882', ' DB06735']"
DB00547,"['DB00547', ' DB00324', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00620', ' DB08970', ' DB11750', ' DB09095', ' DB00223', ' DB00663', ' DB12553', ' DB14640', ' DB14649', ' DB00596', ' DB08971', ' DB14669', ' DB00687', ' DB13158', ' DB01384', ' DB09378', ' DB00896', ' DB00860', ' DB00959', ' DB13223', ' DB14634', ' DB14664', ' DB13728', ' DB01185']"
DB00561,"['DB00561', ' DB01529', ' DB13413', ' DB04896', ' DB08918']"
DB00562,['DB00562']
DB00571,"['DB00571', ' DB03322', ' DB13777']"
DB00574,"['DB00574', ' DB01191']"
DB00579,['DB00579']
DB00588,"['DB00588', ' DB13867', ' DB06781', ' DB08906', ' DB14664', ' DB12322', ' DB01013', ' DB18737', ' DB15777', ' DB14637', ' DB14657', ' DB01047', ' DB15821', ' DB14640', ' DB14649', ' DB00591', ' DB00223', ' DB00663', ' DB14634', ' DB09095', ' DB00596']"
DB00591,"['DB00591', ' DB01047', ' DB18738', ' DB00180', ' DB14662', ' DB00288', ' DB00846', ' DB14673', ' DB06781', ' DB01260', ' DB06786', ' DB08973', ' DB14664', ' DB01222', ' DB12553', ' DB01410', ' DB12322', ' DB00223', ' DB00663', ' DB14637', ' DB14657', ' DB14640', ' DB14649', ' DB09095', ' DB15835', ' DB00596', ' DB15777', ' DB14634', ' DB13728', ' DB15821']"
DB00594,['DB00594']
DB00596,"['DB00596', ' DB00223', ' DB00663', ' DB09095', ' DB11750', ' DB12553', ' DB13728', ' DB01384', ' DB09378', ' DB00324', ' DB08971', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB13223', ' DB00547', ' DB14664', ' DB08970', ' DB00838', ' DB00620', ' DB13158', ' DB13867', ' DB01013', ' DB06781', ' DB14637', ' DB14657', ' DB14652', ' DB15777', ' DB15821']"
DB00598,"['DB00598', ' DB11541']"
DB00606,"['DB00606', ' DB13430', ' DB13532', ' DB15861', ' DB01021', ' DB08645', ' DB08303', ' DB00232', ' DB13989']"
DB00610,"['DB00610', ' DB06707', ' DB13378', ' DB13703', ' DB00368', ' DB00388', ' DB00397', ' DB01486', ' DB00221', ' DB00723', ' DB06262', ' DB08985']"
DB00612,"['DB00612', ' DB00264', ' DB13777']"
DB00620,"['DB00620', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB08970', ' DB00547', ' DB12553', ' DB11750', ' DB00223', ' DB00663', ' DB09095', ' DB14640', ' DB14649', ' DB14669', ' DB00687', ' DB01384', ' DB09378', ' DB00596', ' DB14634', ' DB00860', ' DB00959', ' DB13728', ' DB08971', ' DB13158', ' DB13223', ' DB14664', ' DB13208', ' DB01185']"
DB00621,"['DB00621', ' DB14655', ' DB13951', ' DB08510', ' DB14665']"
DB00624,"['DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB13710', ' DB13230', ' DB14570', ' DB01481', ' DB01572', ' DB00253', ' DB18000', ' DB00367', ' DB00717', ' DB09389', ' DB14584', ' DB04652', ' DB01485', ' DB01500', ' DB01540', ' DB04630', ' DB00741', ' DB13089']"
DB00635,"['DB00635', ' DB09383', ' DB12952', ' DB00860', ' DB00959', ' DB00896', ' DB15970', ' DB14681', ' DB13208', ' DB14625', ' DB14646', ' DB01541', ' DB13586', ' DB15114', ' DB12081', ' DB07373', ' DB12194', ' DB01569', ' DB13158', ' DB13230', ' DB14570', ' DB00547']"
DB00644,"['DB00644', ' DB00007', ' DB06825', ' DB11510', ' DB00666', ' DB18169', ' DB06719', ' DB00014', ' DB04931', ' DB06788', ' DB14027', ' DB15194', ' DB05479', ' DB15314', ' DB11700', ' DB01284', ' DB13298', ' DB15687', ' DB13928', ' DB14803', ' DB11724', ' DB06763', ' DB12631', ' DB14777', ' DB15272', ' DB17938', ' DB12199', ' DB14786', ' DB16013', ' DB16146']"
DB00652,"['DB00652', ' DB00504', ' DB13606', ' DB00854', ' DB14682', ' DB00514', ' DB13810', ' DB00611']"
DB00663,"['DB00223', ' DB00663', ' DB09095', ' DB12553', ' DB00596', ' DB01384', ' DB09378', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB08971', ' DB13728', ' DB00620', ' DB08970', ' DB13223', ' DB00547', ' DB14664', ' DB11750', ' DB06781', ' DB13867', ' DB14637', ' DB14657', ' DB14640', ' DB14649', ' DB15777', ' DB15821', ' DB00687', ' DB14669']"
DB00666,"['DB00666', ' DB00007', ' DB06825', ' DB11510', ' DB18169', ' DB06719', ' DB00644', ' DB04931', ' DB06788', ' DB14027', ' DB05479', ' DB15314', ' DB15194', ' DB01284', ' DB13298', ' DB15687', ' DB00014', ' DB11724', ' DB13928', ' DB14803', ' DB15272', ' DB11700', ' DB17938', ' DB12199', ' DB16013', ' DB14786', ' DB06610', ' DB14777', ' DB11720', ' DB16146']"
DB00668,"['DB00668', ' DB01064', ' DB00368', ' DB00388', ' DB08985', ' DB08957', ' DB13494', ' DB09203', ' DB13917', ' DB13378', ' DB01102', ' DB00816', ' DB00871', ' DB06707', ' DB00221', ' DB01288', ' DB00988', ' DB13206', ' DB11610', ' DB13251']"
DB00675,"['DB00675', ' DB04468', ' DB00539', ' DB15641', ' DB04938', ' DB00882', ' DB06735', ' DB06640']"
