DrugBank ID,Doping,Similar Structure
DB01087,0,"DB01087, DB04909"
DB01088,0,"DB01088, DB12789, DB01160, DB05212, DB00429"
DB01089,0,"DB01089, DB00206, DB13631, DB13575, DB01180, DB11530, DB01392, DB15949, DB13374, DB12131, DB00309, DB01967, DB02868, DB00541, DB17390, DB00570, DB05168, DB12586, DB13793, DB02191, DB11641, DB12674, DB11467, DB15096, DB00361, DB12755, DB04877, DB00200, DB11191, DB13454"
DB01090,0,"DB01090, DB04221, DB13970, DB14143, DB13969, DB01851"
DB01091,0,DB01091
DB01092,0,"DB01092, DB01078, DB13756, DB00390, DB01396, DB13401, DB13240, DB13467, DB00511, DB13691, DB12843, DB13537, DB03671, DB04177, DB06750, DB12025, DB06569, DB15532"
DB01093,0,"DB01093, DB14090"
DB01094,0,"DB01094, DB08517, DB03467, DB02224, DB15645, DB03601, DB04274, DB04429, DB09298, DB03823, DB12039, DB14086, DB04703, DB12116, DB16120, DB16859"
DB01095,0,"DB01095, DB08860"
DB01096,0,DB01096
DB01097,0,DB01097
DB01098,0,DB01098
DB01099,0,DB01099
DB01100,0,"DB01100, DB01459, DB12867, DB01184, DB00450"
DB01101,0,"DB01101, DB12957, DB17226, DB00987, DB02097, DB13921, DB05494, DB01961, DB06365, DB06656, DB15660, DB02456, DB03403, DB13920, DB01995, DB02484, DB04555, DB12947, DB03687, DB01859, DB12153, DB01629, DB12906"
DB01102,0,"DB01102, DB08957, DB00668, DB00221, DB01064, DB13559, DB01288, DB08985, DB13206, DB08954, DB12313"
DB01103,0,"DB01103, DB02240, DB00608, DB01611"
DB01104,0,"DB01104, DB12305, DB14071, DB17032"
DB01105,1,DB01105
DB01106,0,DB01106
DB01107,0,"DB01107, DB13224"
DB01108,0,DB01108
DB01110,0,"DB01110, DB08943, DB01127, DB07705, DB11985, DB13434, DB01007, DB01153"
DB01111,0,"DB01111, DB00803"
DB01112,0,"DB01112, DB13461, DB00456, DB00493, DB00689, DB01331, DB01414, DB01416, DB03313, DB11505, DB01139, DB13504, DB11485, DB01212, DB00671, DB01413, DB00535, DB00267, DB00567, DB11592, DB01140, DB14879, DB00438, DB01150, DB09050, DB01066, DB14725, DB01326, DB03938, DB01333"
DB01113,0,"DB01113, DB12251"
DB01114,0,"DB01114, DB13679, DB09555, DB01620, DB00405, DB00835, DB00280"
DB01115,0,"DB01115, DB00401, DB09229, DB01054, DB09240, DB00393, DB06712, DB09239, DB14068, DB09232, DB00622, DB01023"
DB01116,0,DB01116
DB01117,0,"DB01117, DB06740"
DB01118,0,"DB01118, DB05519, DB13277, DB16012, DB04855"
DB01119,0,DB01119
DB01120,0,"DB01120, DB00839"
DB01121,0,"DB01121, DB13362"
DB01122,0,DB01122
DB01123,0,"DB01123, DB11561, DB13326, DB13373"
DB01124,0,"DB01124, DB00414, DB13406, DB13675, DB00672, DB08484"
DB01125,0,"DB01125, DB00498, DB13136, DB13275"
DB01126,0,DB01126
DB01127,0,"DB01127, DB07705, DB01110, DB08943, DB11985, DB13434, DB01007, DB01153"
DB01128,0,"DB01128, DB02932"
DB01129,0,"DB01129, DB13762, DB00448, DB05351, DB17144, DB00338, DB00736, DB11964"
DB01130,1,"DB01130, DB01410, DB14643, DB14633, DB14644, DB14632, DB15999, DB15566, DB01222, DB01260, DB00288, DB14662, DB00394, DB14221, DB14538, DB14596, DB14543, DB14640, DB14649, DB18737, DB14540, DB14544, DB01047, DB14625, DB14646, DB14545, DB06781, DB14541, DB00180, DB14657"
DB01131,0,"DB01131, DB12314, DB00878, DB13607"
DB01132,0,"DB01132, DB15021, DB11721, DB16028, DB09201"
DB01133,0,DB01133
DB01134,1,"DB01134, DB06780, DB06789, DB14677, DB12499, DB00603, DB11440, DB01420, DB08804, DB13943, DB13944, DB13946, DB16001, DB16002, DB16141, DB14541, DB13958, DB14583, DB14540, DB01380, DB08308, DB08619, DB14538, DB14544, DB14545, DB14543, DB14539, DB01395, DB13185, DB13640"
DB01135,0,"DB01135, DB01226, DB00565, DB00732, DB01199, DB01336, DB00416, DB12093, DB05710, DB14066, DB18146, DB16824, DB13692, DB11915, DB00767"
DB01136,1,"DB01136, DB07543, DB00960, DB13530"
DB01137,0,"DB01137, DB01165, DB03034, DB01044, DB00218, DB11774, DB06600, DB00978, DB11426, DB11404, DB01208, DB04576, DB00537, DB00487, DB01059, DB11393, DB11443, DB11847, DB00365, DB11453, DB09047, DB01405, DB11511, DB11491, DB12447, DB16219, DB13772, DB11892, DB13261"
DB01138,0,"DB01138, DB00812"
DB01139,0,"DB01139, DB01414, DB03313, DB00689, DB00456, DB03938, DB00567, DB00493, DB13461, DB01140, DB01112, DB01333, DB01416, DB01331, DB09008, DB01150, DB14107, DB11385, DB11505, DB00535, DB13778, DB13504, DB00833, DB01326, DB11592, DB13499, DB13821, DB01327, DB09062, DB00274"
DB01140,0,"DB01140, DB00567, DB01150, DB00689, DB00833, DB13266, DB01326, DB03938, DB01333, DB00923, DB01329, DB01414, DB00456, DB14725, DB14107, DB09008, DB03313, DB01328, DB01139, DB11592, DB00430, DB11385, DB00229, DB13499, DB13461, DB13504, DB00535, DB01112, DB11367, DB13821"
DB01141,0,"DB01141, DB00362, DB05168"
DB01142,0,"DB01142, DB14750, DB00768"
DB01143,0,DB01143
DB01144,1,"DB01144, DB13663"
DB01145,0,DB01145
DB01146,0,"DB01146, DB00245, DB13468, DB07917, DB11742, DB00283"
DB01147,0,"DB00485, DB01147, DB00301, DB00713, DB01061, DB00739, DB00319, DB09319, DB13836, DB00578, DB00948, DB13506, DB01603, DB01604, DB00415, DB00607, DB01607"
DB01148,0,DB01148
DB01149,0,"DB01149, DB09194"
DB01150,0,"DB01150, DB01140, DB00567, DB00689, DB13266, DB00833, DB01329, DB01326, DB11592, DB00923, DB01333, DB03938, DB14725, DB00456, DB01414, DB01328, DB00535, DB03313, DB09008, DB00430, DB00229, DB14107, DB13461, DB01139, DB00671, DB11385, DB13504, DB13499, DB01112, DB13821"
DB01151,0,"DB00458, DB01151, DB00726, DB13782, DB01242, DB13411"
DB01152,0,"DB01152, DB12333, DB00681, DB00646, DB00826, DB06145"
DB01153,0,"DB01153, DB01007, DB01110, DB08943, DB01127, DB07705, DB11985"
DB01154,0,"DB01154, DB00599, DB00418"
DB01155,0,"DB01155, DB12479, DB00467, DB00685, DB09335, DB16850, DB11999"
DB01156,0,DB01156
DB01157,0,"DB01157, DB02104"
DB01158,0,DB01158
DB01159,0,DB01159
DB01160,0,"DB01160, DB00429, DB12789, DB00917, DB11454, DB01088, DB00770, DB02056"
DB01161,0,"DB01161, DB00721"
DB01162,0,"DB01162, DB00346, DB12230, DB00590, DB00457, DB09206"
DB01163,0,"DB01163, DB01605, DB01000, DB03550, DB03820, DB13836, DB00415, DB01053, DB13300, DB01060, DB08559, DB13739, DB01607, DB00578, DB01604, DB08795"
DB01165,0,"DB01137, DB01165, DB03034, DB01044, DB00218, DB11774, DB06600, DB00978, DB11426, DB11404, DB01208, DB04576, DB00537, DB00487, DB01059, DB11393, DB11443, DB11847, DB00365, DB11453, DB09047, DB01405, DB11511, DB11491, DB12447, DB16219, DB13772, DB11892, DB13261"
DB01166,0,DB01166
DB01167,0,"DB01167, DB00251, DB01263, DB01026, DB05667"
DB01168,0,DB01168
DB01169,0,DB01169
DB01170,0,DB01170
DB01171,0,DB01171
DB01172,0,"DB01172, DB13673, DB00684, DB13270, DB00452, DB01421, DB04728, DB03615, DB15080, DB17631, DB04808, DB04263, DB16951, DB04729, DB17884, DB04717, DB03779, DB07341, DB00798, DB13274, DB07378, DB04718, DB11520, DB07357, DB04626, DB00479"
DB01173,0,"DB01173, DB01075, DB13769"
DB01174,0,"DB01174, DB00849, DB00794, DB09001, DB13362, DB03368"
DB01175,0,"DB00215, DB01175, DB09190"
DB01176,0,"DB01176, DB08936, DB00737, DB00568, DB00354"
DB01177,0,"DB01177, DB12410, DB00445, DB00694, DB00997, DB11616, DB17149, DB05706, DB06420, DB13103, DB04131, DB06263, DB01806, DB03219, DB00385, DB11618, DB03199, DB11617, DB06013, DB12755"
DB01178,0,DB01178
DB01179,0,"DB01179, DB09094, DB12802, DB00773, DB00444, DB17255"
DB01180,0,"DB01180, DB00206, DB01089, DB11530, DB13631, DB13575, DB01392, DB15949, DB13374, DB01967, DB13793, DB17390, DB12131, DB00541, DB02868, DB00570, DB00309, DB12586, DB05168, DB02191, DB11641, DB00361, DB12674, DB11467"
DB01181,0,"DB01181, DB12902, DB00531"
DB01182,0,"DB01182, DB15410, DB01359, DB13845"
DB01183,0,"DB01183, DB04509, DB00704, DB01192, DB06800, DB00497, DB00327, DB00956, DB06230, DB01512, DB00844, DB09049, DB14146, DB15341, DB01565, DB01551, DB01531, DB13471, DB00921, DB01450, DB01548, DB16117, DB16072, DB11490, DB01538, DB01480, DB01497, DB00295, DB13458, DB01469"
DB01184,0,"DB01184, DB01100"
DB01185,1,"DB01185, DB00687, DB00324, DB00443, DB01234, DB11522, DB13491, DB13610, DB00547, DB00620, DB08970, DB00223, DB00663, DB09095, DB11750, DB00741, DB04652, DB12553, DB00253"
DB01186,0,"DB01186, DB13520, DB13399, DB00248, DB16144"
DB01187,0,"DB01187, DB05683"
DB01188,0,"DB01188, DB15946"
DB01189,0,DB01189
DB01190,0,"DB01190, DB11537, DB01627"
DB01191,1,"DB00574, DB01191"
DB01192,1,"DB00704, DB01192, DB06800, DB00497, DB01183, DB04509, DB00327, DB00956, DB06230, DB01512, DB00844, DB14146, DB15341, DB01565, DB09049, DB01551, DB01531, DB00921, DB01450, DB01548, DB16117, DB16072, DB13471, DB01538, DB01480, DB01497, DB00295, DB01469, DB00318, DB01477"
DB01193,1,"DB01193, DB04846"
DB01194,1,"DB01194, DB03877, DB02220, DB03221, DB02602"
DB01195,0,DB01195
DB01196,0,"DB01196, DB14674, DB13952, DB13953, DB13386"
DB01197,0,"DB01197, DB02032, DB03360, DB13087, DB05814"
DB01198,0,"DB00402, DB01198"
DB01199,0,"DB01199, DB01336, DB00416, DB14066, DB18146, DB16824, DB12093, DB01135, DB13692, DB01226"
DB01200,0,"DB01200, DB00696, DB11273, DB11274, DB11275, DB13345, DB00320, DB05735, DB11191, DB05168, DB03614, DB02868, DB00200, DB00361, DB12674, DB12586, DB17390, DB11467, DB00541, DB11641, DB03469, DB00570, DB02975, DB03906, DB00309, DB04911, DB02667, DB04431, DB04803, DB03317"
DB01201,0,"DB01201, DB01045, DB15213, DB11753, DB16312, DB01220, DB04934, DB05168, DB00615, DB11191, DB03614, DB00200, DB04220, DB11467, DB03933, DB02868, DB05735, DB00541, DB04803, DB17390, DB13013, DB00570, DB03317, DB11641, DB00361, DB12586, DB03469, DB03906, DB02975, DB00309"
DB01202,0,"DB01202, DB11868, DB09210, DB13247, DB05541"
DB01203,1,"DB01203, DB01210, DB01359"
DB01204,0,"DB01204, DB04975, DB03924"
DB01205,0,"DB01205, DB14971"
DB01206,0,"DB01206, DB12968"
DB01207,0,DB01207
DB01208,0,"DB01208, DB11443, DB00978, DB00537, DB11404, DB11393, DB04576, DB00365, DB01059, DB00487, DB01044, DB06771, DB11453, DB14025, DB01405, DB00218, DB13261, DB11491, DB11511, DB12447, DB16219, DB09047, DB01137, DB01165, DB03034, DB13772, DB11847, DB06600, DB11892"
DB01209,0,"DB01209, DB00854, DB14682, DB13606, DB00514, DB00504"
DB01210,1,"DB01210, DB01203"
DB01211,0,"DB01211, DB00199, DB11442, DB13338, DB13179, DB11474, DB00207, DB11416, DB00778, DB01321, DB13456, DB13409, DB09309, DB11383, DB15981, DB00954, DB11554, DB11475, DB06587, DB06145"
DB01212,0,"DB01212, DB00267, DB13504, DB13470, DB00671, DB01416, DB00493, DB00535, DB01413, DB00229, DB11485, DB00438, DB01066, DB11505, DB01332, DB13682, DB14879, DB13667, DB13461, DB00430, DB05735, DB01326, DB00274, DB01328, DB06590, DB01330, DB09050, DB09062, DB01329, DB04918"
DB01213,0,DB01213
DB01214,1,"DB01214, DB07573"
DB01215,0,"DB01215, DB00404, DB00897, DB00546, DB14716, DB14717"
DB01216,0,DB01216
DB01217,1,DB01217
DB01218,0,DB01218
DB01219,0,"DB01219, DB04957"
DB01220,0,"DB01220, DB04934, DB11753, DB01045, DB16312, DB01201, DB15213, DB11191, DB05168, DB03614, DB00615, DB00200, DB04220, DB11467, DB04803, DB11641, DB05735, DB17390, DB03469, DB12674, DB00570, DB00541, DB00361, DB12586, DB03317, DB02868, DB03906, DB02667, DB02975, DB00309"
DB01221,0,"DB01221, DB11823"
DB01222,1,"DB01222, DB01260, DB01410, DB00180, DB00288, DB15835, DB01130, DB14662, DB00591, DB18738, DB14643, DB01047, DB14632, DB00846, DB15999, DB14633, DB14644, DB15566, DB14673, DB08973, DB13751, DB14596"
DB01223,0,"DB01223, DB00277, DB01303, DB13812, DB00201, DB01412, DB03293, DB14132, DB01778, DB14018, DB00824, DB07954, DB13592, DB13573, DB13449, DB09273, DB02134, DB00651, DB13634"
DB01224,0,"DB01224, DB13256"
DB01226,0,"DB01226, DB00565, DB01135, DB00732, DB05710, DB13692, DB12093, DB00767, DB01199, DB01336, DB00416"
DB01227,0,"DB01227, DB01433, DB01522, DB01555, DB01498"
DB01228,0,DB01228
DB01229,0,"DB01229, DB12633, DB17223, DB12619, DB05297, DB06772, DB01248, DB12984, DB15384, DB12144, DB12334, DB11669, DB17168, DB12019"
DB01230,1,"DB01230, DB13341, DB01490, DB01447"
DB01231,0,"DB01231, DB00342, DB00950, DB09076, DB13642"
DB01232,0,"DB01232, DB12178, DB03383"
DB01233,0,"DB01233, DB13511, DB06421, DB12518, DB09018"
DB01234,1,"DB00443, DB01234, DB11522, DB13491, DB00324, DB00620, DB00547, DB08970, DB11750, DB00223, DB00663, DB09095, DB12553, DB14640, DB14649, DB14669, DB00687, DB01384, DB09378, DB00596, DB14634, DB00860, DB00959, DB08971, DB13728, DB13158, DB13223, DB01185, DB13208, DB14664"
DB01235,0,"DB01235, DB00968, DB03552, DB13313, DB06535, DB00190, DB06262, DB00135, DB03839, DB13848, DB00765, DB16306, DB16683, DB17621, DB07979, DB04208, DB06707, DB15296"
DB01236,0,DB01236
DB01237,0,"DB01237, DB01075, DB13769"
DB01238,0,"DB01238, DB14185, DB05422, DB09226"
DB01239,0,"DB01239, DB01624, DB13841, DB13292"
DB01240,1,DB01240
DB01241,0,"DB01241, DB12162"
DB01242,0,"DB01242, DB00458, DB01151, DB00726, DB13782, DB13411, DB09003"
DB01243,0,"DB01243, DB15933, DB13306, DB04815, DB11145, DB09473"
DB01244,0,DB01244
DB01245,0,"DB01245, DB01718, DB02779, DB17342, DB08960, DB04221, DB13970, DB14143, DB13969"
DB01246,0,"DB01246, DB00420, DB00902, DB12710, DB15596, DB13820, DB01071, DB00477, DB11517, DB09000, DB13382, DB13784, DB01069, DB13420, DB00508, DB00392, DB00433, DB01403, DB00372, DB00850, DB13840, DB01614, DB00831, DB15978, DB00679, DB11447"
DB01247,0,DB01247
DB01248,0,"DB01248, DB06772, DB12984, DB01229, DB15384, DB12334, DB12633, DB17223, DB12619, DB12144, DB05297, DB11669, DB17168, DB12019"
DB01249,0,"DB01249, DB12439, DB01362, DB09135, DB11705, DB13861, DB09134, DB09487, DB09156, DB12407, DB08947, DB13444, DB09313"
DB01250,0,"DB01250, DB18066, DB08181, DB07667, DB00244, DB08216"
DB01251,0,"DB01251, DB01016"
DB01252,0,DB01252
DB01253,0,"DB01253, DB00353, DB04829, DB00247, DB00589, DB00696"
DB01254,0,DB01254
DB01255,1,"DB01255, DB07749"
DB01256,0,"DB01256, DB12825"
DB01259,0,DB01259
DB01260,1,"DB01260, DB01222, DB01410, DB00180, DB15835, DB14662, DB00288, DB00591, DB01130, DB00846, DB01047, DB18737, DB15566, DB14673, DB14643, DB14632, DB15999, DB14633, DB14644, DB08973, DB14596, DB06786, DB13751"
DB01261,0,"DB01261, DB07072, DB08044, DB07081"
DB01262,0,"DB01262, DB00928"
DB01263,0,"DB01263, DB18251, DB01167"
DB01264,0,"DB01264, DB00701, DB01319, DB04887, DB15623"
DB01265,0,"DB01265, DB04485, DB13421, DB03312, DB00432, DB02256, DB06683, DB14913, DB03274, DB12606, DB01643, DB11998, DB08432, DB08596, DB08661, DB02745, DB00249, DB06198, DB14930, DB03150, DB03846, DB13030, DB00322, DB12028, DB04205, DB00495, DB02980, DB04438, DB03103, DB04243"
DB01267,0,"DB01267, DB00734, DB06229"
DB01268,0,"DB01268, DB15247, DB08009, DB11741, DB07180, DB13019, DB14866, DB17061, DB06436, DB16821, DB12072, DB03737, DB08577"
DB01273,0,DB01273
DB01274,1,"DB00983, DB01274, DB13625"
DB01275,0,"DB01275, DB12945"
DB01278,0,"DB01278, DB15355, DB05724, DB06260, DB18634, DB13742, DB14803, DB15366, DB18169, DB12199, DB15195, DB13298, DB00007, DB06825, DB11510, DB11720, DB00666, DB04931, DB05479, DB15314, DB14027, DB01284, DB11724, DB15194, DB09059, DB05034, DB15687, DB06719, DB06283, DB13928"
DB01280,0,"DB01280, DB02857, DB04440, DB04853, DB02934, DB03952, DB00194, DB00640, DB02753, DB03528, DB01972, DB03510, DB03609, DB02896, DB03493, DB03315, DB04335, DB01937, DB04315, DB03726, DB12896, DB02315, DB01073, DB04441, DB12156, DB03931, DB04137, DB16075, DB03486, DB03178"
DB01282,0,"DB01282, DB13798, DB17352, DB05029, DB09059, DB14642, DB16687, DB05034, DB12495, DB00035, DB05875, DB01883, DB00067, DB11628, DB15195, DB06283, DB00006"
DB01283,0,"DB01283, DB00586, DB11455, DB06736"
DB01284,1,"DB01284, DB15687, DB05479, DB15314, DB13298, DB04931, DB15194, DB14027, DB13928, DB18169, DB00007, DB06825, DB11510, DB06719, DB00666, DB15272, DB11724, DB14806, DB14803, DB00644, DB06260, DB18634, DB16146, DB15366, DB14786, DB06788, DB13742, DB00014, DB11720, DB00403"
DB01288,1,"DB01288, DB00816, DB00871, DB00221, DB01064, DB00867, DB06814, DB08985, DB01102, DB00388, DB08957, DB00668, DB13559, DB11610"
DB01289,0,DB01289
DB01291,1,DB01291
DB01294,0,DB01294
DB01295,0,DB01295
DB01296,0,"DB01296, DB02678, DB02700, DB03779, DB03291, DB02469, DB03439, DB04808, DB13673"
DB01297,0,"DB01297, DB03783"
DB01298,0,DB01298
DB01299,0,"DB01299, DB13485, DB06150"
DB01301,0,"DB01301, DB00256, DB00759, DB09550, DB00595, DB09093, DB00453, DB00254, DB00618, DB00931, DB13092, DB01017, DB12035, DB13264, DB12455, DB00560, DB15040, DB12329, DB11647, DB11691, DB05168, DB03469, DB11191, DB00361, DB03614, DB12674, DB00200, DB11467"
DB01303,0,"DB01303, DB01223, DB00277, DB13812, DB00201, DB01412, DB03293, DB14132, DB01778, DB14018, DB00824, DB07954, DB13592, DB13573, DB13449, DB09273, DB18002"
DB01319,0,"DB01319, DB00701, DB01264"
DB01320,0,DB01320
DB01321,0,"DB01321, DB13456, DB13409, DB15981, DB09309, DB11554, DB06145, DB11475, DB11383, DB17769, DB13179, DB01211, DB00199, DB11471, DB11442, DB00207, DB00681, DB11416, DB00646, DB11474"
DB01322,0,DB01322
DB01324,1,"DB01324, DB13989, DB00232, DB01021, DB08645, DB15861, DB13430, DB13532, DB00999"
DB01325,1,"DB01325, DB13708, DB00524"
DB01326,0,"DB01326, DB14725, DB01328, DB00923, DB01329, DB00229, DB13266, DB00567, DB00430, DB00274, DB00267, DB01140, DB13821, DB09062, DB01150, DB01327, DB01330, DB13638, DB00689, DB01212, DB13778, DB13499, DB00833, DB09008, DB01333, DB11385, DB00456, DB11592, DB03938, DB13504"
DB01327,0,"DB01327, DB13821, DB13778, DB00923, DB00229, DB01326, DB01328, DB00274, DB14725, DB09062, DB01329, DB01330, DB13638, DB13266, DB00267, DB00430, DB01212, DB13470, DB00567, DB00456, DB09008, DB01414, DB01333, DB01150, DB00689, DB11385, DB11592, DB01140, DB13499, DB00535"
DB01328,0,"DB01328, DB01326, DB14725, DB00923, DB01329, DB00229, DB13266, DB00267, DB00430, DB13821, DB00274, DB01327, DB01330, DB09062, DB13638, DB00567, DB13499, DB01212, DB01140, DB01150, DB13778, DB11385, DB13470, DB00689, DB11592, DB09008, DB01413, DB13504, DB11485, DB00671"
DB01329,0,"DB01329, DB00923, DB01326, DB00430, DB13266, DB14725, DB01328, DB13638, DB00229, DB01150, DB00274, DB01140, DB09062, DB00267, DB00567, DB01330, DB13821, DB01327, DB01212, DB13778, DB00689, DB13499, DB14879, DB00833, DB13470, DB11485, DB00671, DB11592, DB01413, DB05735"
DB01330,0,"DB01330, DB09062, DB00274, DB13638, DB01326, DB14725, DB01328, DB00430, DB00267, DB01329, DB00229, DB00923, DB13821, DB01327, DB01212, DB01331, DB13778, DB13266, DB05735, DB13470, DB14879, DB00671, DB09050, DB13667, DB00535, DB14733, DB00438, DB00493, DB11505, DB01413"
DB01331,0,"DB01331, DB00456, DB01112, DB00689, DB13461, DB09062, DB00274, DB01330, DB11592, DB13638, DB00493, DB01414, DB01416, DB03313, DB01139, DB09008, DB11385, DB00535, DB11505, DB01413, DB13504, DB00567, DB14879, DB01212, DB01150, DB01140, DB11485, DB00671, DB04918, DB14725"
DB01332,0,"DB01332, DB13504, DB00535, DB01416, DB01413, DB00493, DB00671, DB00267, DB11485, DB11505, DB00438, DB01066, DB01212, DB01415, DB13470, DB14879, DB13461, DB13682, DB00229, DB03437, DB04918, DB13667, DB08375, DB01112, DB00833, DB06590, DB00567, DB03530, DB09050, DB01326"
DB01333,0,"DB01333, DB11367, DB03938, DB00567, DB01140, DB01150, DB03313, DB01414, DB00689, DB14107, DB01139, DB00833, DB01326, DB00456, DB14725, DB09008, DB13266, DB13821, DB00923, DB01329, DB01112, DB01328, DB13300, DB01327, DB00229, DB13461, DB04918, DB11385, DB11592, DB09062"
DB01336,0,"DB01199, DB01336, DB00416, DB14066, DB18146, DB16824, DB12093, DB01135, DB13692, DB01226"
DB01337,0,"DB01337, DB01339, DB04834, DB00728, DB01338"
DB01338,0,"DB01338, DB01337, DB01339, DB00728, DB04834"
DB01339,0,"DB01337, DB01339, DB04834, DB00728, DB01338"
DB01340,0,"DB01340, DB15565, DB00584"
DB01342,0,DB01342
DB01346,0,"DB01346, DB00468, DB00908, DB13718, DB15300, DB16831"
DB01347,0,DB01347
DB01348,0,DB01348
DB01349,0,DB01349
DB01351,0,"DB01351, DB01353, DB00312, DB00237, DB01483, DB00418, DB13770, DB00241, DB00306, DB00463, DB13577"
DB01352,0,"DB01352, DB00306, DB13577, DB00418, DB00241, DB00237, DB01483, DB13229, DB00312, DB13770, DB13221, DB13253, DB00474, DB01353, DB00463"
DB01353,0,"DB01353, DB01351, DB00312, DB00237, DB01483, DB00418, DB13770, DB00241, DB00306, DB00463, DB13577, DB01352, DB13253"
DB01354,0,"DB01354, DB13737, DB13805, DB01355, DB13377, DB13770"
DB01355,0,"DB01355, DB13737, DB01354, DB13805, DB13377"
DB01357,0,"DB01357, DB00977, DB13386, DB02342, DB04575, DB12487, DB00783, DB04573, DB07702, DB07706, DB13952, DB12235, DB13418, DB07707, DB15690, DB13956, DB13953, DB07891, DB13954"
DB01359,0,"DB01359, DB01182, DB15410, DB00866, DB01203"
DB01362,0,"DB01362, DB09135, DB13861, DB01249, DB11705, DB12439, DB09134, DB09156, DB12407, DB08947, DB09487, DB13444, DB09313, DB01578"
DB01364,1,"DB00852, DB01364, DB14752, DB11278, DB11587, DB00397, DB01486, DB11610, DB00867, DB01577, DB09571, DB15902"
DB01365,1,"DB01365, DB01577, DB09571, DB00191, DB13285, DB00182, DB01576, DB13852, DB01037, DB12650, DB01550, DB04677, DB02972, DB15339"
DB01366,1,"DB01366, DB15784, DB05039, DB12100"
DB01367,0,"DB01367, DB03894, DB02211, DB04307"
DB01369,0,"DB01369, DB04805, DB11476, DB12674, DB12755, DB05109, DB04952, DB00080, DB05168, DB12076, DB05735, DB04111, DB13013, DB04431, DB11641, DB00361, DB06149, DB02868, DB16098"
DB01375,0,DB01375
DB01380,1,"DB01380, DB12499, DB14539, DB14625, DB14646, DB00603, DB11440, DB06780, DB14541, DB14545, DB01134, DB06789, DB14677, DB14583, DB14538, DB14543, DB14540, DB14544, DB14681, DB13958, DB05288, DB01420, DB08804, DB13943, DB13944, DB13946, DB16001, DB16002, DB16141, DB08308"
DB01382,0,"DB01382, DB06821, DB00359, DB05245"
DB01384,0,"DB01384, DB09378, DB08971, DB13223, DB00223, DB00663, DB09095, DB12553, DB14637, DB14657, DB00596, DB00838, DB15777, DB00443, DB01234, DB11522, DB13491, DB15821, DB00324, DB13728, DB00620, DB08970, DB00547, DB00860, DB00959, DB14664, DB11750, DB06781, DB13208, DB13856"
DB01388,0,"DB01388, DB17037"
DB01390,0,"DB01390, DB09460, DB14531, DB06724, DB06792, DB09481, DB11098, DB11281, DB13698, DB13977, DB14494, DB14509, DB15925, DB15926, DB01942, DB15825"
DB01392,0,"DB01392, DB11530, DB15949, DB01089, DB01180, DB00206, DB13631, DB02191, DB13575, DB13374, DB13793, DB01967, DB15096, DB12131"
DB01393,0,DB01393
DB01394,0,"DB01394, DB15534, DB07574, DB13318, DB11872, DB11582"
DB01395,0,"DB01395, DB08804, DB13943, DB13944, DB13946, DB16001, DB16002, DB16141, DB01420, DB13958, DB08308, DB08619, DB06789, DB14677, DB13185, DB13640, DB14678, DB00603, DB11440, DB02329, DB12499, DB08547, DB01134, DB12221, DB15984, DB06780, DB14639, DB14583, DB14544, DB14540"
DB01396,0,"DB00390, DB01396, DB13401, DB01078, DB00511, DB13691, DB01092, DB13467, DB13240, DB13756, DB13537, DB12843, DB03671, DB06569, DB04177, DB15532, DB14081, DB12025, DB06748, DB06749, DB14815"
DB01397,0,"DB01397, DB00936, DB01401, DB14006, DB02839, DB09543, DB11079, DB13860, DB01672, DB04242, DB15576, DB00233, DB00244, DB04641"
DB01399,0,"DB01399, DB11071, DB13538, DB00945, DB13509, DB13612, DB06807, DB13657, DB12445"
DB01400,0,"DB01400, DB00944"
DB01401,0,"DB01401, DB14006, DB11079, DB01397, DB00936, DB09543, DB13860, DB02839, DB01672, DB00233, DB15576"
DB01403,0,"DB01403, DB01246, DB00420, DB00902"
DB01405,0,"DB01405, DB11491, DB11511, DB00978, DB01059, DB00487, DB01208, DB11393, DB00537, DB11443, DB11404, DB00365, DB04576, DB11943, DB01044, DB11453, DB14025, DB06771, DB09047, DB16850, DB01137, DB01165, DB03034, DB12447, DB16219, DB00218, DB13772, DB13261"
DB01406,1,DB01406
DB01407,1,"DB01407, DB12803"
DB01408,1,DB01408
DB01409,0,"DB01409, DB13448, DB08897"
DB01410,1,"DB01410, DB01222, DB01260, DB00288, DB01130, DB14662, DB18737, DB14643, DB01047, DB00180, DB14632, DB15999, DB14673, DB14633, DB14644, DB15835, DB15566, DB00591, DB00394, DB00846, DB14221, DB14596, DB14640, DB14649, DB14538, DB14543, DB05442, DB14540, DB14625, DB14646"
DB01411,0,DB01411
DB01412,0,"DB01412, DB00201, DB00277, DB01223, DB03293, DB01303, DB13812, DB13592, DB13573, DB14132, DB13449, DB00824, DB01778, DB09273, DB14018, DB00651, DB13634, DB18002, DB12406, DB15122, DB07954, DB17930, DB00806"
DB01413,0,"DB01413, DB13504, DB00535, DB01416, DB00493, DB01332, DB00671, DB00267, DB00438, DB14879, DB11505, DB11485, DB01066, DB01212, DB13470, DB13682, DB13461, DB00229, DB04918, DB01415, DB13667, DB13499, DB09050, DB11385, DB14733, DB09008, DB01112, DB01328, DB01326, DB06590"
