DrugBank ID,Doping,Similar Structure
DB00136,0,"DB00136, DB15557, DB13689, DB01436, DB13097, DB06410, DB00146, DB04258, DB00169, DB18029, DB18406, DB00153, DB04891, DB06117, DB02300, DB03451, DB06272, DB00910, DB01070, DB04038, DB05295, DB08742"
DB00137,0,"DB00137, DB11176, DB15914, DB02253, DB02300, DB06117"
DB00138,0,"DB00138, DB02361, DB04530, DB03654"
DB00139,0,"DB00139, DB14489, DB14508, DB01440, DB09072, DB03568"
DB00140,0,"DB00140, DB03247, DB14727, DB02164, DB02332, DB03147, DB02654, DB04726, DB03482, DB02214, DB03883"
DB00141,0,"DB00141, DB12536, DB11797"
DB00142,0,"DB00142, DB02517, DB03105, DB01898, DB03810, DB03774, DB04388, DB03425, DB04185, DB03847, DB04235, DB03817, DB00129, DB00167, DB01739, DB04419, DB15458"
DB00143,0,"DB00143, DB04701, DB17877, DB04153, DB05446, DB03310, DB03408, DB03295, DB04700, DB06179, DB04132, DB03032, DB03470, DB03003, DB03427, DB02025"
DB00144,0,"DB00144, DB18573, DB01728, DB01966, DB04327, DB14096, DB02777, DB04178, DB09114, DB11283, DB14099, DB02043, DB07349, DB11284, DB14105, DB03429, DB03979, DB11318, DB03690, DB05456, DB03047, DB04683, DB04752, DB11331, DB02306, DB04372, DB08376, DB18093, DB02261, DB01707"
DB00145,0,"DB00145, DB11189, DB11210, DB11509, DB13626, DB14493, DB11200, DB12519"
DB00146,0,"DB00146, DB00169, DB18029, DB18406, DB00153, DB00136, DB15557, DB13689, DB01436, DB13097, DB06410, DB04258, DB01070, DB06117, DB04891, DB04038, DB00910, DB02300, DB03451, DB06272, DB11176, DB15914, DB15614"
DB00147,0,"DB00147, DB00165, DB11673, DB00114"
DB00148,0,DB00148
DB00149,0,"DB00149, DB01746, DB04063, DB04185, DB00167, DB01739, DB02978, DB04487, DB02542, DB03425, DB03774, DB04388, DB00129, DB03105, DB04419, DB15458, DB04620, DB02884, DB03847, DB04171"
DB00150,0,"DB00150, DB03225, DB04236, DB12827, DB03314, DB02959, DB02758, DB04159, DB01446, DB02286, DB03386, DB04537, DB03679, DB01546, DB08638, DB02988, DB07060, DB04206, DB08653, DB02740, DB07723"
DB00151,0,"DB00151, DB03201, DB11197, DB02761, DB02216, DB03382, DB01915, DB03049, DB00160, DB01786"
DB00152,0,"DB00152, DB03416, DB16023, DB01987, DB02254, DB01682"
DB00153,0,"DB00153, DB00169, DB00146, DB06410, DB01070, DB18029, DB18406, DB01436, DB13097, DB15557, DB00136, DB13689, DB06117, DB00910, DB04258, DB02300, DB04038, DB04891, DB11176, DB15914, DB15614, DB03451, DB06272, DB02253"
DB00154,0,"DB00132, DB00154, DB14104, DB13854, DB04224, DB04257, DB04801, DB14073, DB16027, DB04557, DB06689, DB16949, DB00159, DB04746, DB11117, DB14088, DB15678, DB18213"
DB00155,0,"DB00155, DB02368"
DB00156,0,"DB00156, DB03700, DB04454, DB04171, DB15985, DB02978, DB02085, DB03640, DB00133, DB03929"
DB00157,0,"DB00157, DB02338, DB02319, DB01753, DB01842, DB03905, DB02363, DB00171, DB01690, DB16833, DB01829, DB01717, DB02738, DB03182, DB04524, DB04230, DB01992, DB02059, DB04045, DB03117, DB03070, DB01846, DB01675, DB01969, DB02912, DB03699, DB03170, DB03059, DB02930, DB03186"
DB00158,0,"DB00158, DB16620, DB08878, DB00563, DB06178, DB11810, DB07689, DB04196, DB07765, DB03830"
DB00159,0,"DB00159, DB04557, DB08887, DB13854, DB00132, DB00154, DB14104"
DB00160,0,"DB00160, DB01786, DB00133, DB02952, DB03929, DB02289, DB03320, DB04454, DB01804, DB02167, DB03214, DB04217, DB00151, DB01735, DB02345, DB03201"
DB00161,0,"DB00161, DB04171, DB04454, DB00167, DB01739, DB02085, DB04193, DB04498, DB04313, DB04538, DB00859, DB03817, DB04185"
DB00162,0,"DB00162, DB06755, DB08127, DB00523, DB00755, DB00982, DB12112, DB15909, DB02699, DB02253, DB02914"
DB00163,0,"DB00163, DB14476, DB15394, DB14002, DB14477, DB13111, DB14001, DB15921, DB12647, DB07933"
DB00165,0,"DB00165, DB00147, DB11673, DB02209"
DB00166,0,"DB00166, DB06253, DB03760"
DB00167,0,"DB00167, DB01739, DB04185, DB00161, DB00149, DB01746, DB01898, DB03810, DB04063, DB03774, DB04388, DB00129, DB03105, DB04419, DB15458, DB04171, DB04620, DB04454, DB00142, DB02233, DB02517, DB02571, DB03412, DB02978"
DB00168,0,"DB00168, DB08505, DB15991"
DB00169,0,"DB00169, DB00146, DB00153, DB18029, DB18406, DB01436, DB13097, DB15557, DB00136, DB06410, DB13689, DB04258, DB01070, DB04891, DB06117, DB00910, DB02300, DB04038, DB11176, DB15914, DB03451, DB06272, DB15614"
DB00170,0,"DB00170, DB07669, DB17048, DB12148, DB13075, DB14936, DB15381"
DB00171,0,"DB00171, DB01690, DB01717, DB02738, DB02930, DB16833, DB01860, DB03222, DB01842, DB02059, DB00131, DB02363, DB02355, DB03230, DB04554, DB01812, DB03664, DB04366, DB02189, DB03708, DB02098, DB02527, DB03478, DB03755, DB03909, DB04395, DB02694, DB03170, DB01774, DB01829"
DB00172,0,"DB00172, DB02853, DB04284, DB08847, DB03088"
DB00173,0,"DB00173, DB03164, DB04104"
DB00174,0,"DB00174, DB03943, DB04527, DB03817, DB04498"
DB00175,0,"DB00175, DB06693, DB03785, DB14714, DB00227, DB00641, DB14648, DB08224, DB18113"
DB00176,0,DB00176
DB00177,0,DB00177
DB00178,0,"DB00178, DB00519, DB14208, DB14209, DB00584, DB00722, DB09477, DB00790, DB13312, DB14213"
DB00179,0,"DB00179, DB12226, DB12179, DB14129"
DB00180,1,"DB00180, DB14662, DB00591, DB01047, DB18738, DB00846, DB01260, DB08973, DB14673, DB01222, DB00288, DB01410, DB14637, DB14657, DB15835, DB15777, DB15821, DB06786, DB06781, DB01384, DB09378, DB14664, DB12553, DB01130, DB08971, DB14652, DB13223, DB12322, DB00223, DB00663"
DB00181,0,"DB00181, DB08891, DB12098, DB13455"
DB00182,1,"DB00182, DB01576, DB00191, DB02972, DB09250, DB01577, DB09571, DB04484, DB01365, DB13285, DB04325, DB01560, DB07910, DB00752, DB02665, DB09352, DB04410, DB00397, DB01486"
DB00183,0,"DB00183, DB12054, DB12292, DB14806, DB00403, DB11628, DB17503, DB14777, DB00027, DB06645, DB13298, DB11724, DB16146, DB18252, DB12748, DB12777, DB12538, DB05479, DB15314, DB15687, DB09099, DB01284, DB14027, DB18527, DB15194, DB12602, DB14786, DB17536, DB15272, DB17410"
DB00184,0,DB00184
DB00185,0,DB00185
DB00186,0,"DB00186, DB13872, DB00842, DB01511, DB00231, DB14672, DB14028, DB14671, DB00829, DB13837, DB01489, DB01594, DB13335, DB00628, DB01588, DB00801, DB14715, DB01567"
DB00187,1,"DB00187, DB00264, DB00335, DB06987, DB13443"
DB00188,0,"DB00188, DB16741"
DB00189,0,DB00189
DB00190,0,"DB00190, DB00968, DB01235, DB03552, DB13313, DB06535, DB16171, DB00765, DB16306, DB06262, DB00135, DB03839, DB13848"
DB00191,1,"DB00191, DB00182, DB01576, DB01365, DB02972, DB09250, DB01577, DB09571, DB01556, DB04484, DB00752, DB02665, DB13285"
DB00192,0,DB00192
DB00193,1,"DB00193, DB16100, DB00505, DB00376, DB00387, DB00942"
